"Estado","% Ocupación"
"Yucatán","24.86"
"Tabasco","24.69"
"Quintana Roo","23.71"
"Nuevo León","21.67"
"Chihuahua","20.45"
"Baja California Sur","20.11"
"Baja California","15.47"
"Colima","14.28"
"Tlaxcala","14.01"
"Sonora","13.01"
"Puebla","12.54"
"Aguascalientes","12.50"
"Tamaulipas","12.33"
"Sinaloa","11.80"
"Michoacán de Ocampo","11.66"
"Ciudad de México","11.46"
"México","11.12"
"Oaxaca","11.11"
"Veracruz de Ignacio de La Llave","10.49"
"Querétaro","9.85"
"Zacatecas","9.63"
"Coahuila de Zaragoza","9.18"
"Guerrero","8.78"
"Nayarit","8.75"
"Campeche","8.69"
"Jalisco","8.00"
"Hidalgo","7.90"
"Durango","7.69"
"Morelos","5.73"
"San Luis Potosí","5.02"
"Chiapas","3.02"
"Guanajuato","2.68"
