"Estado","% Ocupación"
"Durango","80.28"
"Aguascalientes","79.48"
"Ciudad de México","74.14"
"Querétaro","72.72"
"Zacatecas","68.42"
"Chihuahua","66.38"
"Nuevo León","60.60"
"Sonora","42.00"
"Oaxaca","40.54"
"México","36.36"
"Coahuila de Zaragoza","35.93"
"Sinaloa","35.22"
"Jalisco","35.08"
"Baja California","34.69"
"Guerrero","32.92"
"Veracruz de Ignacio de La Llave","31.75"
"Guanajuato","29.29"
"Puebla","28.28"
"San Luis Potosí","28.00"
"Michoacán de Ocampo","27.90"
"Tabasco","26.38"
"Tamaulipas","25.98"
"Yucatán","24.52"
"Hidalgo","24.48"
"Baja California Sur","22.22"
"Quintana Roo","16.66"
"Colima","15.78"
"Morelos","10.00"
"Chiapas","5.88"
"Campeche","2.77"
"Tlaxcala","0.00"
"Nayarit","0.00"
