"Estado","% Ocupación"
"Zacatecas","84.61"
"Durango","84.12"
"Ciudad de México","77.93"
"Querétaro","71.05"
"Nuevo León","64.14"
"Aguascalientes","63.91"
"Chihuahua","55.93"
"Coahuila de Zaragoza","48.27"
"Oaxaca","42.52"
"México","42.47"
"Sonora","40.98"
"Veracruz de Ignacio de La Llave","40.86"
"Tamaulipas","39.47"
"Sinaloa","38.37"
"Guerrero","36.11"
"Tabasco","36.00"
"Guanajuato","34.02"
"Jalisco","33.71"
"Hidalgo","31.91"
"Morelos","30.00"
"San Luis Potosí","27.27"
"Yucatán","26.47"
"Puebla","23.33"
"Michoacán de Ocampo","20.93"
"Colima","15.78"
"Quintana Roo","15.47"
"Baja California","15.00"
"Baja California Sur","11.11"
"Chiapas","4.54"
"Campeche","2.85"
"Tlaxcala","0.00"
"Nayarit","0.00"
