"Estado","% Ocupación"
"Durango","83.82"
"Ciudad de México","67.72"
"Zacatecas","67.56"
"Chihuahua","67.40"
"Nuevo León","65.66"
"Querétaro","59.37"
"Aguascalientes","59.21"
"Oaxaca","40.24"
"Baja California","39.39"
"Jalisco","38.27"
"Coahuila de Zaragoza","37.50"
"Tamaulipas","33.63"
"Veracruz de Ignacio de La Llave","32.39"
"Sinaloa","31.46"
"Guanajuato","29.90"
"Guerrero","29.47"
"Sonora","29.31"
"México","29.18"
"San Luis Potosí","26.47"
"Hidalgo","25.77"
"Yucatán","25.00"
"Michoacán de Ocampo","24.24"
"Puebla","23.15"
"Tabasco","21.73"
"Morelos","17.74"
"Quintana Roo","16.94"
"Colima","15.78"
"Campeche","5.55"
"Nayarit","3.33"
"Chiapas","1.35"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
