"Estado","% Ocupación"
"Quintana Roo","27.94"
"Ciudad de México","23.05"
"Guerrero","15.69"
"Puebla","15.54"
"Morelos","15.41"
"Tamaulipas","15.29"
"Durango","14.97"
"Chihuahua","14.45"
"Baja California Sur","14.06"
"Tabasco","14.00"
"Nuevo León","13.29"
"Oaxaca","12.50"
"Baja California","11.94"
"México","11.57"
"Veracruz de Ignacio de La Llave","11.04"
"Michoacán de Ocampo","10.79"
"Aguascalientes","9.84"
"Yucatán","8.60"
"Nayarit","8.57"
"Sinaloa","8.52"
"Zacatecas","8.33"
"Querétaro","7.90"
"Sonora","7.50"
"Hidalgo","7.42"
"Jalisco","6.94"
"Colima","5.16"
"Tlaxcala","5.12"
"Chiapas","4.45"
"Guanajuato","3.50"
"San Luis Potosí","3.15"
"Coahuila de Zaragoza","3.09"
"Campeche","2.94"
