"Estado","% Ocupación"
"Zacatecas","100.00"
"Ciudad de México","92.92"
"México","88.18"
"Nuevo León","87.82"
"Tlaxcala","87.50"
"Morelos","84.61"
"Querétaro","75.00"
"Guanajuato","72.28"
"Aguascalientes","70.52"
"Oaxaca","69.72"
"Puebla","68.66"
"Yucatán","62.16"
"Veracruz de Ignacio de La Llave","61.84"
"Sinaloa","59.59"
"Durango","58.57"
"Tabasco","56.36"
"Jalisco","56.07"
"Hidalgo","49.31"
"Nayarit","48.38"
"Tamaulipas","46.73"
"Baja California","46.66"
"Guerrero","44.82"
"San Luis Potosí","43.67"
"Sonora","42.85"
"Baja California Sur","40.00"
"Chihuahua","36.03"
"Quintana Roo","31.57"
"Coahuila de Zaragoza","29.09"
"Michoacán de Ocampo","28.94"
"Colima","28.57"
"Chiapas","20.58"
"Campeche","14.70"
