"Estado","% Ocupación"
"Durango","77.14"
"Chihuahua","70.79"
"Nuevo León","67.03"
"Ciudad de México","65.78"
"Zacatecas","56.66"
"Querétaro","56.25"
"Aguascalientes","51.94"
"Baja California","43.29"
"Coahuila de Zaragoza","37.70"
"Oaxaca","37.07"
"Michoacán de Ocampo","36.36"
"Veracruz de Ignacio de La Llave","34.24"
"Sinaloa","33.73"
"México","33.63"
"Jalisco","33.52"
"Tamaulipas","33.04"
"Colima","31.57"
"Puebla","28.72"
"San Luis Potosí","28.15"
"Guerrero","27.35"
"Hidalgo","26.04"
"Yucatán","26.00"
"Guanajuato","25.43"
"Tabasco","24.17"
"Quintana Roo","20.23"
"Sonora","16.27"
"Morelos","12.50"
"Nayarit","6.66"
"Campeche","2.77"
"Chiapas","1.29"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
