"Estado","% Ocupación"
"Durango","77.77"
"Zacatecas","72.72"
"Querétaro","72.22"
"Nuevo León","71.06"
"Ciudad de México","69.26"
"Aguascalientes","68.68"
"Chihuahua","62.01"
"Baja California","60.34"
"Coahuila de Zaragoza","50.81"
"Sonora","43.39"
"México","42.98"
"Tamaulipas","41.05"
"Oaxaca","40.96"
"Sinaloa","40.00"
"Jalisco","35.67"
"Guanajuato","33.33"
"Veracruz de Ignacio de La Llave","31.46"
"San Luis Potosí","29.54"
"Tabasco","29.23"
"Guerrero","26.82"
"Yucatán","24.00"
"Michoacán de Ocampo","23.80"
"Hidalgo","23.71"
"Morelos","22.85"
"Baja California Sur","22.22"
"Puebla","21.97"
"Colima","15.78"
"Quintana Roo","11.90"
"Campeche","8.57"
"Chiapas","3.03"
"Tlaxcala","0.00"
"Nayarit","0.00"
