"Estado","% Ocupación"
"Durango","81.94"
"Zacatecas","71.42"
"Chihuahua","62.29"
"Nuevo León","61.66"
"Ciudad de México","60.71"
"Querétaro","59.37"
"Aguascalientes","58.22"
"Coahuila de Zaragoza","40.35"
"México","39.21"
"Oaxaca","38.88"
"Baja California","38.38"
"Jalisco","37.05"
"Veracruz de Ignacio de La Llave","36.11"
"Tamaulipas","36.03"
"Sinaloa","34.83"
"Michoacán de Ocampo","29.26"
"Tabasco","28.26"
"Guanajuato","27.52"
"Guerrero","27.36"
"San Luis Potosí","26.66"
"Hidalgo","25.77"
"Sonora","25.42"
"Puebla","24.46"
"Morelos","20.00"
"Yucatán","20.00"
"Colima","15.78"
"Quintana Roo","13.51"
"Campeche","5.40"
"Nayarit","3.33"
"Chiapas","1.35"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
