"Estado","% Ocupación"
"Zacatecas","93.54"
"Durango","84.12"
"Ciudad de México","76.05"
"Querétaro","73.52"
"Nuevo León","65.84"
"Aguascalientes","60.00"
"Chihuahua","52.50"
"México","50.67"
"Baja California","50.00"
"Sinaloa","42.68"
"Morelos","42.50"
"Tamaulipas","39.42"
"Oaxaca","37.34"
"Jalisco","35.82"
"Veracruz de Ignacio de La Llave","34.12"
"Guanajuato","33.02"
"Hidalgo","32.98"
"Coahuila de Zaragoza","32.78"
"Sonora","32.43"
"Tabasco","31.08"
"Michoacán de Ocampo","30.23"
"Guerrero","29.41"
"Yucatán","29.41"
"San Luis Potosí","28.40"
"Quintana Roo","18.46"
"Puebla","17.39"
"Colima","10.52"
"Chiapas","1.51"
"Nayarit","0.00"
"Campeche","0.00"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
