"Estado","% Ocupación"
"Zacatecas","84.61"
"Durango","71.42"
"Ciudad de México","70.68"
"Nuevo León","70.35"
"Querétaro","69.44"
"Aguascalientes","65.65"
"Chihuahua","54.16"
"Sonora","45.94"
"Coahuila de Zaragoza","45.00"
"Hidalgo","44.73"
"Tamaulipas","42.85"
"México","42.54"
"Oaxaca","40.96"
"Sinaloa","38.88"
"Jalisco","35.45"
"Veracruz de Ignacio de La Llave","34.48"
"Guanajuato","34.02"
"San Luis Potosí","28.40"
"Tabasco","27.94"
"Guerrero","26.25"
"Morelos","24.28"
"Yucatán","22.44"
"Puebla","20.87"
"Michoacán de Ocampo","19.04"
"Quintana Roo","16.92"
"Baja California","14.70"
"Campeche","11.42"
"Baja California Sur","11.11"
"Colima","10.52"
"Chiapas","1.53"
"Tlaxcala","0.00"
"Nayarit","0.00"
