"Estado","% Ocupación"
"Tabasco","28.91"
"Yucatán","28.07"
"Baja California Sur","22.04"
"Colima","20.00"
"Nuevo León","18.76"
"Baja California","18.43"
"Ciudad de México","18.20"
"Quintana Roo","17.44"
"Chihuahua","16.40"
"Tamaulipas","15.62"
"Puebla","13.24"
"Durango","12.90"
"Sinaloa","12.21"
"Oaxaca","11.37"
"Michoacán de Ocampo","10.63"
"Aguascalientes","10.30"
"Sonora","10.21"
"Tlaxcala","10.18"
"Nayarit","10.00"
"Coahuila de Zaragoza","9.27"
"México","9.20"
"Hidalgo","9.14"
"Jalisco","8.31"
"Campeche","8.10"
"Guerrero","7.27"
"Veracruz de Ignacio de La Llave","6.99"
"Querétaro","6.61"
"Zacatecas","6.13"
"Morelos","5.12"
"Chiapas","4.74"
"San Luis Potosí","4.71"
"Guanajuato","1.93"
