"Estado","% Ocupación"
"Durango","76.00"
"Querétaro","75.00"
"Zacatecas","65.71"
"Chihuahua","63.33"
"Nuevo León","60.97"
"Ciudad de México","60.85"
"Aguascalientes","56.97"
"Baja California","56.38"
"Michoacán de Ocampo","38.88"
"México","37.10"
"Jalisco","35.27"
"Tamaulipas","34.02"
"Tabasco","31.76"
"Sinaloa","31.39"
"Guerrero","31.39"
"Puebla","30.85"
"Hidalgo","30.48"
"Oaxaca","27.95"
"Veracruz de Ignacio de La Llave","27.65"
"San Luis Potosí","26.21"
"Guanajuato","24.77"
"Sonora","22.50"
"Yucatán","22.44"
"Quintana Roo","20.25"
"Colima","20.00"
"Coahuila de Zaragoza","17.85"
"Morelos","14.51"
"Nayarit","3.22"
"Campeche","2.50"
"Chiapas","1.56"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
