"Estado","% Ocupación"
"Aguascalientes","63.31"
"Ciudad de México","49.73"
"Durango","47.74"
"Nuevo León","47.21"
"Chihuahua","46.85"
"Zacatecas","46.40"
"Coahuila de Zaragoza","37.79"
"Querétaro","35.10"
"Oaxaca","31.57"
"México","29.82"
"San Luis Potosí","28.51"
"Baja California","27.71"
"Hidalgo","23.60"
"Sinaloa","23.38"
"Jalisco","20.20"
"Sonora","18.72"
"Colima","18.00"
"Tamaulipas","17.86"
"Guerrero","17.18"
"Morelos","16.66"
"Michoacán de Ocampo","16.66"
"Tabasco","16.27"
"Veracruz de Ignacio de La Llave","15.46"
"Baja California Sur","14.73"
"Puebla","13.68"
"Guanajuato","11.40"
"Yucatán","10.44"
"Nayarit","9.82"
"Tlaxcala","8.94"
"Quintana Roo","6.94"
"Chiapas","1.90"
"Campeche","1.14"
