"Estado","% Ocupación"
"Quintana Roo","33.66"
"Durango","23.07"
"Tamaulipas","18.20"
"Guerrero","17.66"
"Baja California Sur","16.46"
"Nayarit","16.33"
"Ciudad de México","16.16"
"Nuevo León","15.46"
"Tabasco","15.00"
"Coahuila de Zaragoza","14.13"
"Morelos","13.97"
"Baja California","13.72"
"Veracruz de Ignacio de La Llave","13.15"
"Michoacán de Ocampo","13.12"
"Aguascalientes","12.44"
"México","12.33"
"Puebla","11.72"
"Oaxaca","11.07"
"Yucatán","10.59"
"Sonora","10.54"
"Chihuahua","9.55"
"Zacatecas","8.38"
"Colima","8.00"
"Sinaloa","7.24"
"Tlaxcala","6.60"
"Guanajuato","6.41"
"Querétaro","6.25"
"Hidalgo","5.26"
"Jalisco","4.93"
"Chiapas","4.45"
"San Luis Potosí","2.29"
"Campeche","2.28"
