"Estado","% Ocupación"
"Quintana Roo","28.08"
"Ciudad de México","19.45"
"Puebla","16.84"
"Tabasco","15.90"
"Durango","15.90"
"Chihuahua","15.49"
"Guerrero","15.27"
"Morelos","14.11"
"Tamaulipas","13.72"
"Baja California Sur","13.72"
"Oaxaca","13.18"
"Nuevo León","12.68"
"Veracruz de Ignacio de La Llave","11.19"
"México","10.72"
"Michoacán de Ocampo","10.68"
"Aguascalientes","10.11"
"Baja California","9.93"
"Colima","9.37"
"Yucatán","9.03"
"Sonora","8.94"
"Nayarit","8.61"
"Hidalgo","8.12"
"Sinaloa","8.02"
"Querétaro","7.86"
"Jalisco","7.15"
"Tlaxcala","6.77"
"Chiapas","4.78"
"Zacatecas","4.70"
"Guanajuato","4.39"
"San Luis Potosí","3.69"
"Coahuila de Zaragoza","3.01"
"Campeche","2.26"
