"Estado","% Ocupación"
"Zacatecas","91.42"
"Tlaxcala","87.50"
"Durango","81.96"
"Querétaro","80.55"
"Ciudad de México","73.26"
"México","69.56"
"Oaxaca","60.00"
"Aguascalientes","59.81"
"Tabasco","57.14"
"Nuevo León","56.99"
"Baja California","51.80"
"Jalisco","45.50"
"Sonora","44.06"
"Hidalgo","43.20"
"Yucatán","41.17"
"Puebla","38.88"
"Chihuahua","38.40"
"Sinaloa","38.04"
"Guanajuato","36.08"
"Coahuila de Zaragoza","36.06"
"Veracruz de Ignacio de La Llave","34.93"
"Morelos","33.92"
"Tamaulipas","30.97"
"Michoacán de Ocampo","27.90"
"San Luis Potosí","27.27"
"Guerrero","25.00"
"Baja California Sur","22.22"
"Colima","15.78"
"Quintana Roo","13.95"
"Campeche","6.25"
"Chiapas","6.06"
"Nayarit","0.00"
