"Estado","% Ocupación"
"Durango","82.35"
"Zacatecas","77.50"
"Querétaro","68.75"
"Aguascalientes","68.60"
"Nuevo León","66.91"
"Chihuahua","66.39"
"Ciudad de México","61.42"
"Michoacán de Ocampo","54.83"
"Coahuila de Zaragoza","49.20"
"Oaxaca","37.80"
"Veracruz de Ignacio de La Llave","37.70"
"México","36.12"
"Tamaulipas","34.54"
"Sinaloa","34.04"
"Sonora","34.04"
"Jalisco","33.42"
"San Luis Potosí","30.43"
"Guanajuato","29.29"
"Guerrero","26.04"
"Morelos","25.00"
"Hidalgo","22.77"
"Puebla","21.64"
"Tabasco","21.62"
"Yucatán","16.66"
"Baja California","16.36"
"Colima","15.78"
"Quintana Roo","13.55"
"Chiapas","4.47"
"Nayarit","3.33"
"Campeche","2.94"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
