"Estado","% Ocupación"
"Durango","83.33"
"Chihuahua","69.52"
"Nuevo León","68.54"
"Ciudad de México","68.47"
"Zacatecas","66.66"
"Aguascalientes","59.49"
"Querétaro","56.25"
"Jalisco","38.06"
"Oaxaca","37.50"
"Baja California","35.71"
"México","34.44"
"Tabasco","33.33"
"Veracruz de Ignacio de La Llave","31.91"
"Michoacán de Ocampo","30.76"
"Puebla","29.16"
"Guanajuato","26.13"
"Sinaloa","26.02"
"Tamaulipas","25.71"
"Coahuila de Zaragoza","22.91"
"Yucatán","22.22"
"Guerrero","21.68"
"Hidalgo","20.65"
"Colima","15.78"
"Morelos","15.71"
"San Luis Potosí","15.49"
"Quintana Roo","14.08"
"Nayarit","6.66"
"Campeche","5.71"
"Sonora","4.34"
"Chiapas","1.44"
"Baja California Sur","0.00"
"Tlaxcala","0.00"
