"Estado","% Ocupación"
"Zacatecas","77.77"
"Durango","74.60"
"Querétaro","72.22"
"Ciudad de México","71.25"
"Nuevo León","64.97"
"Aguascalientes","64.94"
"Coahuila de Zaragoza","54.76"
"Chihuahua","53.84"
"Sonora","46.42"
"Guanajuato","46.26"
"México","44.49"
"Oaxaca","43.52"
"Hidalgo","38.09"
"Tamaulipas","37.62"
"Sinaloa","37.07"
"Jalisco","33.81"
"Tabasco","33.33"
"Veracruz de Ignacio de La Llave","32.48"
"Yucatán","31.42"
"Guerrero","28.04"
"San Luis Potosí","25.84"
"Morelos","25.71"
"Puebla","22.22"
"Michoacán de Ocampo","19.04"
"Baja California","17.50"
"Colima","15.78"
"Quintana Roo","13.09"
"Baja California Sur","11.11"
"Chiapas","3.03"
"Campeche","2.85"
"Tlaxcala","0.00"
"Nayarit","0.00"
