"Estado","% Ocupación"
"Tabasco","36.66"
"Chihuahua","35.90"
"Baja California Sur","30.00"
"Aguascalientes","20.65"
"Puebla","20.55"
"Colima","20.40"
"Ciudad de México","19.12"
"México","18.92"
"Yucatán","18.59"
"Querétaro","18.21"
"Baja California","17.02"
"Michoacán de Ocampo","16.98"
"Tlaxcala","15.38"
"Nayarit","15.17"
"Tamaulipas","14.45"
"Durango","14.17"
"Guerrero","13.36"
"Nuevo León","12.42"
"Oaxaca","12.20"
"Veracruz de Ignacio de La Llave","10.91"
"Morelos","10.78"
"Sonora","10.61"
"Hidalgo","10.29"
"Quintana Roo","9.36"
"Jalisco","8.95"
"San Luis Potosí","7.86"
"Sinaloa","7.42"
"Chiapas","6.36"
"Zacatecas","5.62"
"Coahuila de Zaragoza","5.17"
"Guanajuato","4.49"
"Campeche","3.17"
