"Estado","% Ocupación"
"Tabasco","35.58"
"Ciudad de México","34.50"
"Chihuahua","33.03"
"Yucatán","32.43"
"Colima","30.50"
"México","29.69"
"Querétaro","28.67"
"Michoacán de Ocampo","24.07"
"Aguascalientes","21.87"
"Puebla","21.01"
"Morelos","20.65"
"Veracruz de Ignacio de La Llave","20.38"
"Sinaloa","20.38"
"Oaxaca","20.15"
"Durango","18.93"
"Tlaxcala","18.75"
"Nuevo León","17.48"
"Hidalgo","17.14"
"Guerrero","16.88"
"Jalisco","14.33"
"San Luis Potosí","14.02"
"Baja California Sur","13.13"
"Quintana Roo","12.88"
"Coahuila de Zaragoza","11.57"
"Tamaulipas","11.20"
"Guanajuato","9.52"
"Zacatecas","9.46"
"Baja California","9.24"
"Nayarit","8.91"
"Sonora","8.29"
"Chiapas","6.49"
"Campeche","4.09"
