"Estado","% Ocupación"
"Durango","77.02"
"Zacatecas","75.75"
"Ciudad de México","75.17"
"Querétaro","73.52"
"Aguascalientes","68.81"
"Nuevo León","65.14"
"Chihuahua","55.63"
"Oaxaca","40.96"
"Baja California","37.23"
"Coahuila de Zaragoza","36.92"
"México","35.87"
"Jalisco","34.83"
"Guanajuato","33.70"
"Sinaloa","31.81"
"Michoacán de Ocampo","31.57"
"Tamaulipas","30.76"
"San Luis Potosí","30.00"
"Guerrero","29.26"
"Veracruz de Ignacio de La Llave","28.20"
"Hidalgo","28.04"
"Yucatán","27.27"
"Puebla","27.27"
"Tabasco","26.76"
"Baja California Sur","22.22"
"Sonora","18.75"
"Colima","15.78"
"Quintana Roo","13.43"
"Morelos","10.00"
"Chiapas","5.88"
"Campeche","2.94"
"Nayarit","0.00"
"Tlaxcala","0.00"
