"Estado","% Ocupación"
"Quintana Roo","31.77"
"Durango","20.14"
"Tamaulipas","19.07"
"Ciudad de México","18.72"
"Baja California Sur","16.86"
"Tabasco","16.86"
"Guerrero","15.90"
"Nuevo León","15.46"
"Baja California","14.60"
"Veracruz de Ignacio de La Llave","14.53"
"Michoacán de Ocampo","14.00"
"Puebla","13.78"
"México","12.80"
"Nayarit","12.50"
"Coahuila de Zaragoza","11.82"
"Morelos","11.23"
"Chihuahua","10.86"
"Yucatán","10.58"
"Oaxaca","9.88"
"Colima","8.91"
"Sonora","8.84"
"Zacatecas","8.23"
"Aguascalientes","8.02"
"Guanajuato","8.00"
"Sinaloa","7.92"
"Tlaxcala","5.90"
"Querétaro","5.69"
"Hidalgo","4.50"
"Chiapas","4.40"
"Jalisco","4.39"
"San Luis Potosí","2.41"
"Campeche","2.18"
