"Estado","% Ocupación"
"Durango","72.85"
"Querétaro","68.75"
"Chihuahua","63.44"
"Aguascalientes","63.01"
"Ciudad de México","59.09"
"Nuevo León","55.33"
"Nayarit","47.27"
"Tamaulipas","45.71"
"Baja California","43.01"
"Coahuila de Zaragoza","42.85"
"Zacatecas","35.48"
"Oaxaca","35.23"
"Veracruz de Ignacio de La Llave","35.17"
"San Luis Potosí","34.61"
"Jalisco","31.11"
"Sinaloa","29.89"
"Yucatán","29.16"
"Guerrero","27.67"
"Guanajuato","27.52"
"México","26.82"
"Puebla","26.37"
"Sonora","24.52"
"Tabasco","23.68"
"Quintana Roo","23.52"
"Hidalgo","21.87"
"Michoacán de Ocampo","21.62"
"Colima","21.05"
"Morelos","11.42"
"Chiapas","5.19"
"Baja California Sur","3.22"
"Tlaxcala","0.00"
"Campeche","0.00"
