"Estado","% Ocupación"
"Durango","75.32"
"Zacatecas","74.07"
"Ciudad de México","73.56"
"Querétaro","72.22"
"Nuevo León","67.86"
"Aguascalientes","67.32"
"Chihuahua","61.47"
"Colima","60.00"
"Coahuila de Zaragoza","53.84"
"México","47.52"
"Sonora","44.73"
"Guanajuato","39.56"
"Sinaloa","37.36"
"Tamaulipas","37.00"
"Veracruz de Ignacio de La Llave","33.83"
"Jalisco","33.42"
"Morelos","32.50"
"Hidalgo","31.70"
"Michoacán de Ocampo","30.76"
"Oaxaca","30.13"
"Tabasco","27.14"
"San Luis Potosí","26.96"
"Guerrero","25.92"
"Yucatán","22.44"
"Baja California Sur","22.22"
"Puebla","18.47"
"Quintana Roo","15.38"
"Baja California","11.76"
"Campeche","8.82"
"Chiapas","3.03"
"Tlaxcala","0.00"
"Nayarit","0.00"
