"Estado","% Ocupación"
"Querétaro","68.18"
"Zacatecas","65.00"
"Sonora","44.73"
"Quintana Roo","34.42"
"México","32.48"
"Tamaulipas","31.57"
"Yucatán","31.03"
"Aguascalientes","26.41"
"Nuevo León","26.37"
"Oaxaca","23.91"
"Guerrero","23.65"
"Michoacán de Ocampo","23.52"
"Puebla","23.07"
"Chihuahua","21.11"
"Sinaloa","20.65"
"Tabasco","20.27"
"Ciudad de México","17.01"
"Veracruz de Ignacio de La Llave","15.67"
"Durango","13.63"
"Jalisco","12.93"
"Guanajuato","10.60"
"San Luis Potosí","10.00"
"Baja California","8.88"
"Chiapas","7.57"
"Coahuila de Zaragoza","6.81"
"Campeche","6.25"
"Colima","5.55"
"Hidalgo","3.84"
"Morelos","3.33"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
