"Estado","% Ocupación"
"Tabasco","34.59"
"Chihuahua","33.78"
"Ciudad de México","33.19"
"Aguascalientes","28.15"
"México","24.45"
"Hidalgo","24.39"
"Puebla","23.89"
"Tlaxcala","20.96"
"Yucatán","20.95"
"Colima","20.00"
"Michoacán de Ocampo","19.20"
"Oaxaca","18.22"
"Sinaloa","17.81"
"Querétaro","16.72"
"Sonora","16.66"
"Veracruz de Ignacio de La Llave","16.22"
"Baja California Sur","15.21"
"Nuevo León","15.13"
"San Luis Potosí","14.78"
"Durango","13.84"
"Guerrero","13.69"
"Morelos","13.41"
"Jalisco","12.44"
"Baja California","10.87"
"Tamaulipas","10.21"
"Zacatecas","10.11"
"Nayarit","8.91"
"Quintana Roo","7.40"
"Guanajuato","6.98"
"Coahuila de Zaragoza","6.17"
"Chiapas","5.34"
"Campeche","4.65"
