"Estado","% Ocupación"
"Zacatecas","94.11"
"Ciudad de México","80.11"
"Durango","76.47"
"Querétaro","72.22"
"Aguascalientes","60.18"
"Nuevo León","59.94"
"México","55.72"
"Chihuahua","44.69"
"Yucatán","44.11"
"Oaxaca","42.66"
"Coahuila de Zaragoza","42.37"
"Jalisco","41.64"
"Hidalgo","38.27"
"Michoacán de Ocampo","36.36"
"Guanajuato","36.19"
"Sinaloa","35.95"
"Tabasco","33.78"
"Sonora","32.25"
"Veracruz de Ignacio de La Llave","31.65"
"Morelos","31.42"
"Tamaulipas","29.20"
"San Luis Potosí","27.27"
"Tlaxcala","25.00"
"Quintana Roo","19.76"
"Puebla","17.39"
"Guerrero","17.07"
"Baja California","16.66"
"Baja California Sur","11.11"
"Colima","5.26"
"Chiapas","2.94"
"Campeche","2.94"
"Nayarit","0.00"
