"Estado","% Ocupación"
"Aguascalientes","62.17"
"Ciudad de México","61.16"
"Baja California","56.58"
"Zacatecas","54.05"
"México","46.11"
"Nuevo León","45.92"
"Querétaro","45.42"
"Durango","42.57"
"Coahuila de Zaragoza","37.15"
"Chihuahua","32.41"
"Oaxaca","31.03"
"Hidalgo","30.76"
"Sonora","30.04"
"San Luis Potosí","30.00"
"Jalisco","27.81"
"Michoacán de Ocampo","23.77"
"Morelos","23.07"
"Sinaloa","22.44"
"Guanajuato","21.58"
"Tabasco","20.43"
"Baja California Sur","16.66"
"Yucatán","16.10"
"Puebla","15.95"
"Tamaulipas","15.48"
"Tlaxcala","15.44"
"Veracruz de Ignacio de La Llave","14.51"
"Colima","13.00"
"Guerrero","12.55"
"Quintana Roo","8.90"
"Nayarit","6.62"
"Chiapas","2.31"
"Campeche","2.20"
