"Estado","% Ocupación"
"Querétaro","77.77"
"Yucatán","65.00"
"Ciudad de México","60.27"
"México","49.50"
"Tabasco","39.68"
"Puebla","37.74"
"Morelos","34.61"
"Durango","33.78"
"Chihuahua","33.68"
"Aguascalientes","31.03"
"Veracruz de Ignacio de La Llave","28.18"
"Tamaulipas","27.77"
"Michoacán de Ocampo","25.00"
"Oaxaca","22.68"
"Sinaloa","21.81"
"Nuevo León","21.56"
"San Luis Potosí","20.98"
"Guerrero","19.09"
"Hidalgo","18.03"
"Quintana Roo","17.33"
"Jalisco","17.00"
"Sonora","16.32"
"Baja California","13.63"
"Guanajuato","13.18"
"Tlaxcala","12.50"
"Zacatecas","10.00"
"Coahuila de Zaragoza","9.43"
"Chiapas","7.93"
"Colima","6.66"
"Campeche","2.94"
"Nayarit","0.00"
"Baja California Sur","0.00"
