"Estado","% Ocupación"
"Baja California Sur","26.81"
"Quintana Roo","25.54"
"Nuevo León","21.98"
"Ciudad de México","19.28"
"Nayarit","18.51"
"Guerrero","17.61"
"Tamaulipas","17.19"
"Baja California","16.76"
"Durango","16.66"
"Tabasco","15.65"
"Aguascalientes","14.70"
"México","14.24"
"Veracruz de Ignacio de La Llave","14.13"
"Puebla","13.92"
"Chihuahua","13.85"
"Jalisco","13.28"
"Sonora","13.14"
"Querétaro","12.26"
"Colima","12.19"
"Michoacán de Ocampo","12.05"
"Morelos","12.00"
"Yucatán","11.90"
"Oaxaca","11.84"
"Coahuila de Zaragoza","11.45"
"Tlaxcala","10.52"
"Sinaloa","7.96"
"Zacatecas","7.73"
"Hidalgo","7.50"
"Guanajuato","4.53"
"Chiapas","4.43"
"Campeche","4.29"
"San Luis Potosí","3.00"
