"Estado","% Ocupación"
"Durango","81.42"
"Chihuahua","68.03"
"Zacatecas","67.56"
"Nuevo León","66.92"
"Ciudad de México","65.73"
"Querétaro","65.62"
"Aguascalientes","55.81"
"Baja California","40.44"
"Jalisco","36.59"
"México","35.74"
"Tamaulipas","35.59"
"Oaxaca","35.00"
"Michoacán de Ocampo","35.00"
"Sinaloa","32.25"
"Veracruz de Ignacio de La Llave","31.03"
"Hidalgo","30.58"
"Guanajuato","29.29"
"Puebla","28.72"
"Tabasco","28.57"
"San Luis Potosí","28.15"
"Quintana Roo","25.42"
"Guerrero","23.58"
"Coahuila de Zaragoza","22.44"
"Yucatán","20.40"
"Sonora","20.37"
"Morelos","13.75"
"Colima","11.53"
"Nayarit","6.66"
"Campeche","5.71"
"Chiapas","1.35"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
