"Estado","% Ocupación"
"Quintana Roo","33.54"
"Ciudad de México","21.79"
"Tabasco","16.66"
"Puebla","15.70"
"Tamaulipas","14.88"
"Morelos","14.67"
"Guerrero","14.56"
"México","14.27"
"Baja California","13.35"
"Durango","12.50"
"Nayarit","12.38"
"Nuevo León","12.22"
"Michoacán de Ocampo","12.02"
"Baja California Sur","12.01"
"Veracruz de Ignacio de La Llave","11.59"
"Oaxaca","11.55"
"Chihuahua","11.19"
"Aguascalientes","11.17"
"Sonora","10.31"
"Zacatecas","10.06"
"Yucatán","9.52"
"Sinaloa","9.49"
"Hidalgo","8.81"
"Querétaro","6.77"
"Jalisco","5.95"
"Tlaxcala","5.60"
"Chiapas","4.95"
"Colima","4.45"
"Guanajuato","4.20"
"Coahuila de Zaragoza","3.56"
"San Luis Potosí","3.30"
"Campeche","2.81"
