"Estado","% Ocupación"
"Aguascalientes","40.68"
"Ciudad de México","40.65"
"Nuevo León","35.99"
"Colima","31.81"
"Coahuila de Zaragoza","29.46"
"Zacatecas","28.48"
"México","28.47"
"Querétaro","26.42"
"Chihuahua","25.81"
"San Luis Potosí","25.76"
"Baja California","25.69"
"Sinaloa","24.90"
"Michoacán de Ocampo","24.00"
"Jalisco","23.73"
"Oaxaca","22.40"
"Baja California Sur","22.05"
"Veracruz de Ignacio de La Llave","22.04"
"Durango","20.87"
"Quintana Roo","19.52"
"Puebla","18.49"
"Hidalgo","17.37"
"Tabasco","16.41"
"Tamaulipas","16.07"
"Tlaxcala","15.67"
"Nayarit","15.49"
"Guerrero","15.16"
"Morelos","13.92"
"Yucatán","13.86"
"Sonora","10.67"
"Guanajuato","9.40"
"Chiapas","4.54"
"Campeche","2.94"
