"Estado","% Ocupación"
"Aguascalientes","42.64"
"Ciudad de México","40.50"
"Nuevo León","38.74"
"Colima","32.35"
"San Luis Potosí","32.34"
"México","30.80"
"Coahuila de Zaragoza","29.51"
"Michoacán de Ocampo","29.32"
"Baja California","29.24"
"Querétaro","29.03"
"Veracruz de Ignacio de La Llave","28.99"
"Jalisco","26.78"
"Zacatecas","25.00"
"Durango","24.50"
"Tabasco","23.83"
"Puebla","23.40"
"Sinaloa","23.34"
"Oaxaca","21.70"
"Tamaulipas","21.09"
"Yucatán","20.46"
"Nayarit","20.45"
"Quintana Roo","20.44"
"Tlaxcala","18.65"
"Chihuahua","17.84"
"Hidalgo","17.64"
"Morelos","15.50"
"Baja California Sur","15.31"
"Guerrero","14.34"
"Guanajuato","12.70"
"Campeche","11.85"
"Sonora","10.15"
"Chiapas","3.51"
