"Estado","% Ocupación"
"Quintana Roo","35.50"
"Durango","25.89"
"Campeche","25.64"
"Baja California Sur","22.97"
"Nuevo León","18.36"
"Ciudad de México","18.32"
"Guerrero","17.09"
"Puebla","17.05"
"Baja California","16.86"
"Chiapas","16.66"
"Michoacán de Ocampo","16.14"
"Tamaulipas","15.09"
"Nayarit","14.28"
"Veracruz de Ignacio de La Llave","13.38"
"México","13.38"
"Sonora","11.76"
"Coahuila de Zaragoza","11.52"
"Oaxaca","11.38"
"Tabasco","11.11"
"Chihuahua","10.74"
"Morelos","9.52"
"Yucatán","9.24"
"Guanajuato","9.01"
"Zacatecas","8.87"
"Aguascalientes","8.77"
"Sinaloa","8.70"
"Querétaro","5.30"
"Colima","4.72"
"Jalisco","4.21"
"San Luis Potosí","3.20"
"Hidalgo","2.79"
"Tlaxcala","0.00"
