"Estado","% Ocupación"
"Querétaro","62.50"
"Yucatán","62.50"
"Zacatecas","45.00"
"Quintana Roo","36.92"
"México","34.02"
"Oaxaca","33.33"
"Nuevo León","32.52"
"Tabasco","31.42"
"Tamaulipas","28.73"
"Aguascalientes","26.53"
"Sonora","25.00"
"Puebla","24.69"
"Veracruz de Ignacio de La Llave","21.35"
"Sinaloa","21.17"
"Durango","20.83"
"Jalisco","17.11"
"Ciudad de México","16.05"
"Chihuahua","15.21"
"Campeche","13.33"
"Baja California","12.19"
"Guerrero","7.05"
"San Luis Potosí","5.79"
"Hidalgo","5.71"
"Coahuila de Zaragoza","5.71"
"Guanajuato","5.35"
"Chiapas","4.83"
"Tlaxcala","0.00"
"Morelos","0.00"
"Michoacán de Ocampo","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Baja California Sur","0.00"
