"Estado","% Ocupación"
"Quintana Roo","33.88"
"Tamaulipas","18.00"
"Ciudad de México","17.32"
"Tabasco","16.56"
"Michoacán de Ocampo","15.72"
"Puebla","14.90"
"México","14.74"
"Sonora","14.74"
"Nayarit","14.55"
"Guerrero","14.19"
"Baja California Sur","14.06"
"Morelos","14.05"
"Durango","13.63"
"Nuevo León","12.50"
"Veracruz de Ignacio de La Llave","12.08"
"Zacatecas","11.97"
"Chihuahua","10.60"
"Oaxaca","9.78"
"Yucatán","8.99"
"Hidalgo","8.86"
"Sinaloa","8.47"
"Baja California","7.98"
"Aguascalientes","7.21"
"Querétaro","6.90"
"Tlaxcala","6.03"
"Chiapas","5.98"
"Jalisco","5.66"
"Guanajuato","5.38"
"Campeche","3.45"
"Coahuila de Zaragoza","3.43"
"San Luis Potosí","3.37"
"Colima","3.20"
