"Estado","% Ocupación"
"Quintana Roo","24.85"
"Chihuahua","19.64"
"Durango","19.31"
"Puebla","19.26"
"Guerrero","17.41"
"Ciudad de México","16.58"
"Tabasco","15.06"
"Morelos","15.06"
"Oaxaca","14.41"
"Zacatecas","14.20"
"México","13.98"
"Baja California Sur","13.12"
"Hidalgo","12.67"
"Aguascalientes","12.67"
"Tamaulipas","11.53"
"Michoacán de Ocampo","11.45"
"Baja California","11.23"
"Veracruz de Ignacio de La Llave","10.72"
"Sinaloa","10.48"
"Nayarit","10.44"
"Querétaro","10.32"
"Yucatán","10.04"
"Nuevo León","9.62"
"Tlaxcala","9.29"
"Sonora","8.99"
"Chiapas","7.10"
"Jalisco","6.82"
"Colima","6.25"
"San Luis Potosí","4.93"
"Guanajuato","4.84"
"Coahuila de Zaragoza","4.67"
"Campeche","3.53"
