"Estado","% Ocupación"
"Tabasco","29.09"
"Yucatán","23.88"
"Baja California Sur","21.78"
"Colima","20.58"
"Quintana Roo","20.26"
"Nuevo León","19.49"
"Ciudad de México","18.68"
"Baja California","17.39"
"Chihuahua","17.11"
"Durango","14.58"
"Oaxaca","13.75"
"Tamaulipas","13.70"
"Sinaloa","13.20"
"Michoacán de Ocampo","12.80"
"Puebla","12.04"
"Aguascalientes","11.83"
"Sonora","11.11"
"México","10.52"
"Tlaxcala","10.18"
"Morelos","9.57"
"Coahuila de Zaragoza","9.45"
"Hidalgo","8.87"
"Jalisco","8.48"
"Zacatecas","8.48"
"Veracruz de Ignacio de La Llave","8.18"
"Querétaro","8.17"
"San Luis Potosí","6.37"
"Guerrero","6.14"
"Campeche","5.66"
"Chiapas","4.45"
"Nayarit","2.53"
"Guanajuato","2.00"
