"Estado","% Ocupación"
"Baja California Sur","71.42"
"Ciudad de México","23.56"
"México","17.34"
"Sinaloa","14.45"
"Quintana Roo","12.04"
"Hidalgo","7.69"
"Chihuahua","7.09"
"Oaxaca","7.04"
"Guerrero","6.25"
"Baja California","6.00"
"Nayarit","5.88"
"Michoacán de Ocampo","5.42"
"Aguascalientes","5.40"
"Veracruz de Ignacio de La Llave","4.42"
"Campeche","4.00"
"Yucatán","3.88"
"Tlaxcala","3.84"
"Jalisco","3.26"
"Coahuila de Zaragoza","3.17"
"Querétaro","3.14"
"Sonora","3.12"
"Puebla","2.22"
"Nuevo León","1.82"
"Morelos","1.72"
"Zacatecas","1.61"
"Tamaulipas","1.58"
"San Luis Potosí","1.28"
"Tabasco","0.00"
"Colima","0.00"
"Guanajuato","0.00"
"Durango","0.00"
"Chiapas","0.00"
