"Estado","% Ocupación"
"Aguascalientes","60.59"
"Ciudad de México","52.61"
"Durango","49.07"
"Nuevo León","48.58"
"Chihuahua","45.17"
"Querétaro","37.90"
"Zacatecas","37.50"
"Baja California","37.26"
"Coahuila de Zaragoza","34.36"
"México","31.66"
"San Luis Potosí","30.55"
"Oaxaca","30.51"
"Hidalgo","23.94"
"Sinaloa","22.44"
"Jalisco","20.91"
"Guerrero","17.11"
"Sonora","16.56"
"Colima","16.32"
"Morelos","16.32"
"Puebla","16.31"
"Michoacán de Ocampo","15.58"
"Tamaulipas","14.28"
"Veracruz de Ignacio de La Llave","14.24"
"Tabasco","13.74"
"Nayarit","11.83"
"Guanajuato","11.05"
"Baja California Sur","10.88"
"Tlaxcala","10.00"
"Quintana Roo","8.86"
"Yucatán","8.73"
"Chiapas","1.14"
"Campeche","0.55"
