"Estado","% Ocupación"
"Durango","76.92"
"Chihuahua","72.56"
"Aguascalientes","69.79"
"Ciudad de México","68.97"
"Querétaro","68.75"
"Zacatecas","67.50"
"Nuevo León","64.81"
"Oaxaca","55.07"
"Baja California","51.61"
"Coahuila de Zaragoza","42.10"
"México","36.56"
"Sinaloa","34.83"
"Tamaulipas","33.01"
"Jalisco","32.79"
"Michoacán de Ocampo","32.60"
"Tabasco","30.88"
"Sonora","29.78"
"Guerrero","29.47"
"Guanajuato","28.08"
"Veracruz de Ignacio de La Llave","27.94"
"Hidalgo","27.61"
"San Luis Potosí","26.00"
"Puebla","23.46"
"Yucatán","21.56"
"Morelos","17.14"
"Colima","15.78"
"Quintana Roo","10.00"
"Chiapas","7.46"
"Nayarit","6.45"
"Campeche","2.94"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
