"Estado","% Ocupación"
"Quintana Roo","30.51"
"Ciudad de México","20.42"
"Tamaulipas","16.45"
"Michoacán de Ocampo","16.00"
"Puebla","15.37"
"Nayarit","15.17"
"Tabasco","15.15"
"Guerrero","15.02"
"México","14.20"
"Baja California","14.00"
"Veracruz de Ignacio de La Llave","13.52"
"Morelos","13.13"
"Sonora","12.79"
"Chihuahua","12.50"
"Baja California Sur","12.01"
"Durango","11.51"
"Oaxaca","11.14"
"Zacatecas","11.04"
"Yucatán","9.06"
"Sinaloa","8.66"
"Nuevo León","8.29"
"Aguascalientes","8.26"
"Hidalgo","7.92"
"Querétaro","6.91"
"Tlaxcala","6.27"
"Colima","5.32"
"Chiapas","5.23"
"Guanajuato","4.92"
"Jalisco","4.90"
"Coahuila de Zaragoza","3.56"
"San Luis Potosí","3.29"
"Campeche","2.77"
