"Estado","% Ocupación"
"Durango","74.92"
"Ciudad de México","63.16"
"Nuevo León","62.57"
"Coahuila de Zaragoza","62.05"
"Zacatecas","59.52"
"Guanajuato","57.79"
"Hidalgo","55.09"
"Baja California","51.95"
"Chihuahua","50.22"
"México","49.87"
"Aguascalientes","48.53"
"Querétaro","42.03"
"Sonora","35.21"
"Oaxaca","29.91"
"Michoacán de Ocampo","27.51"
"Morelos","23.84"
"Puebla","23.50"
"Jalisco","23.22"
"Guerrero","23.21"
"San Luis Potosí","23.00"
"Nayarit","21.93"
"Sinaloa","20.83"
"Veracruz de Ignacio de La Llave","19.26"
"Tamaulipas","19.06"
"Tabasco","18.14"
"Baja California Sur","16.79"
"Tlaxcala","12.00"
"Colima","11.61"
"Yucatán","10.43"
"Quintana Roo","9.78"
"Chiapas","3.00"
"Campeche","2.92"
