"Estado","% Ocupación"
"Zacatecas","100.00"
"Tlaxcala","100.00"
"Ciudad de México","90.45"
"México","83.18"
"Nuevo León","83.15"
"Aguascalientes","82.71"
"Querétaro","75.00"
"Oaxaca","73.86"
"Puebla","66.66"
"Guanajuato","65.62"
"Yucatán","63.88"
"Durango","57.14"
"Veracruz de Ignacio de La Llave","56.39"
"Tabasco","55.14"
"Jalisco","52.14"
"Sinaloa","51.42"
"Tamaulipas","45.94"
"Hidalgo","44.44"
"Baja California","42.85"
"Morelos","42.50"
"Michoacán de Ocampo","39.02"
"Guerrero","35.84"
"San Luis Potosí","34.11"
"Nayarit","33.33"
"Sonora","31.88"
"Quintana Roo","30.76"
"Baja California Sur","30.00"
"Chihuahua","29.09"
"Colima","28.57"
"Coahuila de Zaragoza","24.48"
"Chiapas","23.52"
"Campeche","12.50"
