"Estado","% Ocupación"
"Durango","80.00"
"Zacatecas","78.04"
"Chihuahua","72.17"
"Aguascalientes","69.23"
"Nuevo León","68.73"
"Ciudad de México","66.11"
"Querétaro","65.62"
"Coahuila de Zaragoza","52.38"
"Oaxaca","38.75"
"México","37.21"
"Baja California","34.37"
"Sinaloa","33.70"
"Jalisco","32.43"
"Tamaulipas","31.06"
"Veracruz de Ignacio de La Llave","29.75"
"San Luis Potosí","28.43"
"Michoacán de Ocampo","28.20"
"Hidalgo","25.24"
"Guanajuato","24.77"
"Sonora","24.63"
"Guerrero","24.21"
"Morelos","22.50"
"Tabasco","21.62"
"Puebla","20.61"
"Quintana Roo","18.03"
"Colima","15.78"
"Yucatán","14.89"
"Chiapas","4.47"
"Campeche","2.94"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
