"Estado","% Ocupación"
"Durango","72.85"
"Chihuahua","72.17"
"Ciudad de México","66.59"
"Aguascalientes","64.17"
"Nuevo León","57.39"
"Querétaro","56.25"
"Zacatecas","54.83"
"Baja California","49.48"
"Tamaulipas","40.00"
"México","38.83"
"Michoacán de Ocampo","35.89"
"Sinaloa","34.06"
"Veracruz de Ignacio de La Llave","33.80"
"Jalisco","33.79"
"Oaxaca","33.00"
"Guerrero","32.07"
"Colima","31.81"
"Coahuila de Zaragoza","28.84"
"Sonora","27.58"
"Puebla","27.36"
"San Luis Potosí","26.92"
"Hidalgo","25.60"
"Morelos","25.00"
"Guanajuato","25.00"
"Yucatán","24.48"
"Quintana Roo","24.05"
"Tabasco","23.25"
"Chiapas","2.98"
"Campeche","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
