"Estado","% Ocupación"
"Querétaro","79.41"
"Ciudad de México","52.08"
"Zacatecas","50.00"
"México","41.08"
"Yucatán","39.39"
"Chihuahua","39.28"
"Puebla","36.66"
"Durango","34.66"
"Oaxaca","33.01"
"Aguascalientes","29.31"
"Sinaloa","27.27"
"Hidalgo","25.45"
"Veracruz de Ignacio de La Llave","25.31"
"Tabasco","25.00"
"Quintana Roo","24.44"
"Nuevo León","21.42"
"San Luis Potosí","20.98"
"Guerrero","20.00"
"Tamaulipas","18.58"
"Jalisco","18.24"
"Sonora","16.00"
"Morelos","15.71"
"Michoacán de Ocampo","12.12"
"Baja California","11.62"
"Colima","11.11"
"Chiapas","11.11"
"Coahuila de Zaragoza","11.11"
"Guanajuato","10.75"
"Campeche","6.25"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
