"Estado","% Ocupación"
"Durango","88.23"
"Zacatecas","87.50"
"Ciudad de México","81.11"
"Querétaro","68.57"
"Nuevo León","63.17"
"Aguascalientes","63.15"
"México","55.50"
"Chihuahua","54.09"
"Oaxaca","44.73"
"Hidalgo","44.70"
"Guanajuato","37.37"
"Morelos","37.14"
"Sonora","35.84"
"Jalisco","34.49"
"Tabasco","33.78"
"Sinaloa","33.73"
"Yucatán","32.35"
"Tamaulipas","30.27"
"Coahuila de Zaragoza","29.50"
"Veracruz de Ignacio de La Llave","29.41"
"Michoacán de Ocampo","28.94"
"San Luis Potosí","28.08"
"Guerrero","23.17"
"Baja California","20.00"
"Puebla","17.39"
"Quintana Roo","15.47"
"Baja California Sur","11.11"
"Colima","10.52"
"Campeche","5.55"
"Chiapas","3.50"
"Tlaxcala","0.00"
"Nayarit","0.00"
