"Estado","% Ocupación"
"Durango","79.16"
"Zacatecas","73.80"
"Ciudad de México","72.53"
"Aguascalientes","71.27"
"Nuevo León","68.92"
"Querétaro","68.75"
"Chihuahua","68.46"
"Oaxaca","41.66"
"Coahuila de Zaragoza","38.59"
"Sonora","38.29"
"Tamaulipas","38.26"
"Sinaloa","35.16"
"Veracruz de Ignacio de La Llave","34.96"
"México","34.51"
"Jalisco","33.94"
"Guerrero","30.48"
"San Luis Potosí","28.00"
"Michoacán de Ocampo","27.90"
"Tabasco","27.77"
"Puebla","25.77"
"Guanajuato","25.45"
"Hidalgo","24.39"
"Yucatán","21.56"
"Colima","15.78"
"Morelos","14.28"
"Baja California","13.46"
"Quintana Roo","12.24"
"Chiapas","5.97"
"Campeche","2.85"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
