"Estado","% Ocupación"
"Querétaro","77.77"
"Yucatán","68.29"
"Ciudad de México","65.19"
"México","51.70"
"Oaxaca","45.09"
"Puebla","40.15"
"Aguascalientes","37.93"
"Tabasco","37.50"
"Nuevo León","29.71"
"Durango","27.84"
"Chihuahua","25.28"
"Morelos","25.00"
"Veracruz de Ignacio de La Llave","24.08"
"Tamaulipas","23.07"
"Sinaloa","22.32"
"Jalisco","21.93"
"Hidalgo","21.56"
"Zacatecas","20.00"
"Michoacán de Ocampo","20.00"
"Guerrero","19.81"
"San Luis Potosí","19.23"
"Colima","16.66"
"Quintana Roo","15.38"
"Sonora","14.63"
"Tlaxcala","12.50"
"Guanajuato","11.70"
"Baja California","9.52"
"Chiapas","7.93"
"Coahuila de Zaragoza","7.27"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Campeche","0.00"
