"Estado","% Ocupación"
"Yucatán","76.00"
"Coahuila de Zaragoza","66.66"
"Querétaro","45.45"
"Quintana Roo","44.00"
"Tamaulipas","38.35"
"Tabasco","34.88"
"Nuevo León","30.15"
"Zacatecas","27.77"
"México","26.42"
"Aguascalientes","24.52"
"Sonora","22.22"
"Sinaloa","20.54"
"Durango","20.00"
"Puebla","19.27"
"Michoacán de Ocampo","18.75"
"Campeche","18.18"
"Veracruz de Ignacio de La Llave","16.51"
"Oaxaca","14.00"
"Chihuahua","13.41"
"Jalisco","11.68"
"Baja California","11.62"
"San Luis Potosí","10.76"
"Chiapas","9.52"
"Ciudad de México","8.50"
"Guerrero","7.89"
"Guanajuato","5.55"
"Baja California Sur","0.00"
"Morelos","0.00"
"Colima","0.00"
"Hidalgo","0.00"
"Tlaxcala","0.00"
"Nayarit","0.00"
