"Estado","% Ocupación"
"Yucatán","32.78"
"Tabasco","24.58"
"Baja California Sur","23.07"
"Nuevo León","22.06"
"Baja California","17.77"
"Colima","17.39"
"Tamaulipas","17.24"
"Quintana Roo","17.13"
"Nayarit","14.66"
"Chihuahua","13.82"
"Sonora","13.63"
"Sinaloa","13.33"
"Puebla","11.47"
"Coahuila de Zaragoza","11.30"
"Campeche","10.81"
"Oaxaca","10.69"
"Tlaxcala","9.34"
"Aguascalientes","9.31"
"Michoacán de Ocampo","9.01"
"Ciudad de México","8.88"
"Jalisco","8.61"
"Guerrero","8.58"
"Durango","8.24"
"México","7.89"
"Hidalgo","6.91"
"Veracruz de Ignacio de La Llave","6.70"
"Querétaro","6.51"
"Zacatecas","5.18"
"San Luis Potosí","4.95"
"Chiapas","4.08"
"Morelos","3.22"
"Guanajuato","1.20"
