"Estado","% Ocupación"
"Durango","84.05"
"Zacatecas","71.42"
"Chihuahua","70.08"
"Ciudad de México","65.82"
"Nuevo León","65.66"
"Querétaro","62.50"
"Aguascalientes","60.46"
"Coahuila de Zaragoza","40.67"
"Oaxaca","40.24"
"Sinaloa","37.77"
"Jalisco","36.20"
"México","35.39"
"Baja California","34.69"
"Guerrero","31.39"
"Guanajuato","31.00"
"Veracruz de Ignacio de La Llave","29.86"
"Tamaulipas","29.59"
"San Luis Potosí","26.47"
"Sonora","26.19"
"Tabasco","25.67"
"Michoacán de Ocampo","25.64"
"Hidalgo","23.17"
"Puebla","22.91"
"Yucatán","22.91"
"Quintana Roo","22.03"
"Morelos","19.23"
"Colima","16.66"
"Chiapas","2.98"
"Campeche","2.77"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
