"Estado","% Ocupación"
"Durango","72.85"
"Chihuahua","67.61"
"Aguascalientes","60.86"
"Ciudad de México","60.38"
"Nuevo León","57.94"
"Baja California Sur","57.14"
"Querétaro","56.25"
"Zacatecas","54.83"
"Baja California","50.00"
"Tamaulipas","40.94"
"Michoacán de Ocampo","40.00"
"Veracruz de Ignacio de La Llave","35.41"
"Guerrero","35.10"
"Jalisco","35.08"
"México","34.38"
"Oaxaca","31.06"
"Puebla","30.20"
"Coahuila de Zaragoza","30.18"
"Sinaloa","27.72"
"Colima","27.27"
"San Luis Potosí","26.16"
"Yucatán","26.00"
"Guanajuato","23.85"
"Tabasco","23.00"
"Quintana Roo","22.50"
"Hidalgo","20.93"
"Sonora","16.66"
"Morelos","10.00"
"Chiapas","5.26"
"Tlaxcala","0.00"
"Campeche","0.00"
"Nayarit","0.00"
