"Estado","% Ocupación"
"Durango","78.66"
"Ciudad de México","71.01"
"Querétaro","70.58"
"Aguascalientes","70.40"
"Zacatecas","69.44"
"Nuevo León","66.08"
"Chihuahua","59.45"
"Michoacán de Ocampo","46.15"
"Morelos","45.45"
"Sonora","42.85"
"Oaxaca","42.35"
"Tamaulipas","40.42"
"México","39.06"
"Coahuila de Zaragoza","38.70"
"Yucatán","36.58"
"Jalisco","33.69"
"Guanajuato","32.11"
"Veracruz de Ignacio de La Llave","31.20"
"Sinaloa","31.11"
"Guerrero","30.48"
"Tabasco","30.13"
"San Luis Potosí","27.17"
"Hidalgo","26.19"
"Quintana Roo","25.64"
"Baja California Sur","22.22"
"Baja California","20.58"
"Puebla","18.75"
"Colima","15.78"
"Chiapas","4.16"
"Campeche","2.85"
"Tlaxcala","0.00"
"Nayarit","0.00"
