"Estado","% Ocupación"
"Zacatecas","79.31"
"Ciudad de México","66.54"
"Querétaro","65.62"
"Nuevo León","60.28"
"Tamaulipas","56.34"
"Yucatán","55.10"
"Durango","53.12"
"Baja California","51.04"
"Michoacán de Ocampo","51.02"
"Aguascalientes","50.63"
"Veracruz de Ignacio de La Llave","43.41"
"México","41.51"
"Tlaxcala","37.50"
"San Luis Potosí","36.53"
"Jalisco","36.02"
"Chihuahua","34.48"
"Puebla","29.54"
"Quintana Roo","28.40"
"Guerrero","26.78"
"Oaxaca","26.73"
"Guanajuato","26.60"
"Sonora","24.63"
"Coahuila de Zaragoza","24.24"
"Tabasco","23.68"
"Hidalgo","21.64"
"Sinaloa","21.00"
"Morelos","16.25"
"Colima","15.78"
"Baja California Sur","11.42"
"Chiapas","11.25"
"Campeche","10.25"
"Nayarit","0.00"
