"Estado","% Ocupación"
"Durango","82.60"
"Chihuahua","72.88"
"Querétaro","62.50"
"Ciudad de México","61.91"
"Nuevo León","55.89"
"Aguascalientes","52.56"
"Zacatecas","46.66"
"Sinaloa","45.94"
"Baja California","41.93"
"Morelos","40.90"
"Oaxaca","39.02"
"Jalisco","35.89"
"Coahuila de Zaragoza","35.08"
"México","34.57"
"Tamaulipas","34.40"
"Tabasco","32.87"
"Quintana Roo","30.00"
"Guanajuato","29.09"
"Veracruz de Ignacio de La Llave","28.67"
"Guerrero","27.36"
"Hidalgo","25.74"
"San Luis Potosí","25.49"
"Yucatán","25.00"
"Michoacán de Ocampo","23.07"
"Puebla","22.91"
"Sonora","21.95"
"Colima","16.66"
"Chiapas","2.98"
"Campeche","2.94"
"Tlaxcala","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
