"Estado","% Ocupación"
"Tabasco","35.33"
"Chihuahua","34.72"
"Ciudad de México","28.64"
"Aguascalientes","27.80"
"México","26.75"
"Hidalgo","25.50"
"Yucatán","23.41"
"Puebla","22.16"
"Sinaloa","21.17"
"Colima","19.67"
"Michoacán de Ocampo","18.97"
"Querétaro","17.43"
"Veracruz de Ignacio de La Llave","16.94"
"Oaxaca","16.04"
"Nuevo León","15.59"
"Durango","14.70"
"San Luis Potosí","14.40"
"Sonora","14.11"
"Tlaxcala","14.03"
"Baja California Sur","13.56"
"Morelos","12.67"
"Jalisco","12.34"
"Guerrero","12.20"
"Nayarit","11.45"
"Baja California","10.37"
"Zacatecas","10.28"
"Tamaulipas","9.84"
"Quintana Roo","8.59"
"Guanajuato","6.49"
"Coahuila de Zaragoza","6.34"
"Chiapas","5.74"
"Campeche","4.65"
