"Estado","% Ocupación"
"Aguascalientes","44.90"
"Ciudad de México","41.80"
"Nuevo León","40.96"
"Colima","37.14"
"Coahuila de Zaragoza","33.33"
"México","31.24"
"Zacatecas","30.00"
"Durango","29.29"
"San Luis Potosí","29.22"
"Baja California","28.85"
"Querétaro","28.72"
"Veracruz de Ignacio de La Llave","28.38"
"Jalisco","27.23"
"Tabasco","25.70"
"Puebla","25.08"
"Sinaloa","25.00"
"Michoacán de Ocampo","24.90"
"Oaxaca","24.12"
"Yucatán","22.82"
"Nayarit","22.22"
"Tamaulipas","22.18"
"Chihuahua","21.51"
"Quintana Roo","20.07"
"Hidalgo","18.93"
"Tlaxcala","16.66"
"Morelos","16.27"
"Baja California Sur","16.11"
"Guerrero","15.85"
"Guanajuato","14.65"
"Sonora","11.56"
"Campeche","8.14"
"Chiapas","3.86"
