"Estado","% Ocupación"
"Zacatecas","90.62"
"Durango","86.36"
"Querétaro","80.00"
"Ciudad de México","74.62"
"Nuevo León","59.39"
"Aguascalientes","57.28"
"Chihuahua","55.46"
"México","50.45"
"Guanajuato","45.87"
"Oaxaca","38.82"
"Yucatán","38.23"
"Jalisco","37.96"
"Sinaloa","37.20"
"Veracruz de Ignacio de La Llave","36.92"
"Morelos","35.71"
"Hidalgo","34.88"
"Tabasco","33.78"
"Tamaulipas","32.43"
"Coahuila de Zaragoza","32.30"
"Michoacán de Ocampo","30.23"
"Sonora","28.20"
"San Luis Potosí","23.86"
"Baja California","22.50"
"Quintana Roo","21.21"
"Guerrero","21.05"
"Puebla","17.39"
"Baja California Sur","11.11"
"Colima","10.52"
"Campeche","7.89"
"Chiapas","1.51"
"Nayarit","0.00"
"Tlaxcala","0.00"
