"Estado","% Ocupación"
"Durango","71.51"
"Nuevo León","64.26"
"Chihuahua","63.58"
"Ciudad de México","48.84"
"Zacatecas","47.74"
"Coahuila de Zaragoza","45.18"
"Hidalgo","35.25"
"Colima","32.25"
"Oaxaca","31.61"
"Guanajuato","29.94"
"México","29.66"
"Guerrero","27.46"
"Nayarit","24.52"
"Baja California","21.98"
"Veracruz de Ignacio de La Llave","21.40"
"Michoacán de Ocampo","21.00"
"Sonora","19.53"
"Aguascalientes","19.53"
"Querétaro","19.29"
"Tabasco","17.14"
"Jalisco","16.92"
"Quintana Roo","16.60"
"San Luis Potosí","15.68"
"Sinaloa","15.67"
"Tamaulipas","15.32"
"Puebla","15.24"
"Morelos","14.65"
"Baja California Sur","13.45"
"Yucatán","8.48"
"Tlaxcala","8.05"
"Chiapas","2.60"
"Campeche","2.58"
